REGISTRE;F1;P1;P1A;P1B;P2;P2A;P2B;P3;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P4_9;P4_10;P4_11;P4_12;P4_95;P4_98;P4_99;P5A;P5B;P5C;P5D;P5E;P5F;P5G;P5H;P5I;P5J;P5K;P5L;P5M;P5N;P5O;P5P;P5Q;P5R;P6;P7;P8;ID0;ID1;ID2;ID3;ID4_1;ID4_2;ID5;ID5_1;ID6;ID7;USU;RFD_GB;POND
110;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;1;1;1;1;2;2;1;2;1;1;1;2;2;2;1;2;10;70;39;2;23;1;1; ;2;4;3;74,2;1,04
111;1;1;2; ;1;1; ;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;1;1;1;2;1;2;2;1;2;1;2;2;2;3; ;10;70;39;1;41;3;1; ;1;2;1;74,2;1,04
112;1;1;1; ;2; ; ;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;2;1;1;2;2;2;1;2;1;2;2;2;2;3; ;10;70;39;1;74;6;1; ;3;2;3;74,2;1,04
113;1;2; ;10;2; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4; ; ;10;70;39;1;33;2;3;504;2;5;5;74,2;1,04
114;1;1;1; ;1;1; ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;2;1;1;2;1;1;1;2;1;1;2;1;2;99;1;10;70;39;1;44;3;3;586;1;5;3;74,2;1,04
115;1;1;2; ;1;1; ;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;10;70;39;1;24;1;1; ;2;5;1;74,2;1,04
116;1;1;2; ;1;1; ;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;1;1;1;2;1;1;10;70;39;1;19;1;1; ;5;3;1;74,2;1,04
117;1;2; ;7;1;1; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;70;39;2;63;5;1; ;1;4;6;74,2;1,04
118;1;2; ;99;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4; ; ;10;70;39;1;35;3;3;586;1;5;5;74,2;1,04
119;1;2; ;98;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;3;1;10;70;39;1;30;2;3;504;2;2;4;74,2;1,04
120;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;2;2;1;2;1;2;10;70;39;2;16;1;1; ;5;2;2;74,2;1,04
121;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;3;2;10;70;39;2;43;3;1; ;1;4;3;74,2;1,04
122;1;1;2; ;2; ; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;10;70;39;1;52;4;1; ;1;4;3;74,2;1,04
123;1;2; ;6;1;1; ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;2;2;1;3;1;10;70;39;1;39;3;1; ;1;3;3;74,2;1,04
124;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;70;39;1;67;6;1; ;3;2;6;74,2;1,04
125;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;70;39;2;69;6;1; ;3;1;6;74,2;1,04
126;1;2; ;10;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;70;39;1;39;3;3;270;2;3;6;74,2;1,04
127;1;2; ;6;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4; ; ;10;70;39;2;30;2;3;586;1;5;5;74,2;1,04
128;1;2; ;6;2; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;70;39;1;66;6;3;504;3;1;6;74,2;1,04
129;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;1;10;70;39;2;52;4;3;380;1;5;2;74,2;1,04
131;1;1;1; ;1;1; ;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;3;2;2;8;8;1;27;2;1; ;1;5;2;127,8;1,03
